Destination_ID,Destination_Name,State,City,Category,Description,Best_Season,Avoid_Season,Ideal_Duration_Days,Budget_Category,Budget_Per_Person_INR,Hotel_Cost_Per_Night_INR,Food_Cost_Per_Day_INR,Local_Transport_Cost_INR,Family_Friendly,Couple_Friendly,Solo_Friendly,Friends_Friendly,Kids_Friendly,Senior_Citizen_Friendly,Adventure_Level,Nature_Score,Historical_Score,Religious_Score,Shopping_Score,Nightlife_Score,Safety_Score,Cleanliness_Score,Accessibility,Average_Temperature_C,Rainfall_Level,Altitude_Meters,UNESCO_Heritage,Nearest_Airport,Nearest_Railway,Latitude,Longitude,Rating,Number_of_Reviews,Popular_Activities,Nearby_Attractions,Recommended_Months,Languages_Spoken,Famous_For,Suitable_For,Parking_Available,Pet_Friendly,Wheelchair_Accessible,Eco_Tourism,Image_URL
11,Munnar,Kerala,Munnar,Hill Station,Popular tourist destination,Winter,Summer,5 Days,Unknown,12000,1500,1000.0,359,YES,No,yes,No,No,Y,0,10,10,4,7.0,,4,8,Moderate,33,Medium,2853,yes,Airport,Railway Station,,,3.1,21370,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Friends,N,no,no,yes,https://example.com/image.jpg
12,Varanasi Ghats,Uttar Pradesh,Varanasi,Lake,Popular tourist destination,Winter,Summer,05 Days,Low,12000,30000,500.0,199,N,no,YES,NO,N,Yes,5,1,2,4,2.0,10.0,9,6,Moderate,32,High,2338,NO,Airport,Railway Station,30.507424,79.989092,4.9,16821,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Backpackers,yes,yes,N,no,https://example.com/image.jpg
13,Mysuru Palace,Karnataka,Mysuru,Waterfall,Popular tourist destination,Winter,Summer,Five Days,Luxury,5000,3000,500.0,908,yes,NO,yes,Yes,Y,Y,5,6,9,1,,,6,5,Easy,20,Medium,1976,no,Airport,Railway Station,31.97602,85.815656,,36025,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Family,yes,NO,YES,yes,https://example.com/image.jpg
14,Amritsar,Punjab,Amritsar,Island,Popular tourist destination,Winter,Summer,5,Low,12000,1500,,1536,no,NO,no,No,N,YES,7,1,4,7,,2.0,3,5,Moderate,26,Medium,2869,Y,,Railway Station,,93.573672,2.8,16975,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Solo,N,NO,yes,NO,https://example.com/image.jpg
15,Varanasi Ghats,Uttar Pradesh,Varanasi,Fort,Popular tourist destination,Winter,Summer,5,Luxury,250,100,1000.0,505,YES,Y,Y,NO,N,N,4,3,2,9,7.0,3.0,5,5,Difficult,33,High,571,YES,Airport,Railway Station,14.107558,79.687064,4.0,4554,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Family,Y,NO,Y,NO,https://example.com/image.jpg
16,Jaipur,rajasthan,Jaipur,Adventure,Popular tourist destination,Winter,Summer,5 Days,Medium,12000,100,1000.0,454,N,NO,Yes,Yes,Y,NO,7,3,1,4,,,6,6,NA,33,Low,3166,Yes,Airport,Railway Station,27.938198,79.034296,4.9,644,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Couple,YES,YES,Y,N,https://example.com/image.jpg
17,Amritsar,Punjab,Amritsar,Pilgrimage,Popular tourist destination,Winter,Summer,5 Days,Luxury,999999,1500,200.0,898,yes,Y,Y,NO,N,yes,0,2,1,5,7.0,,3,5,Difficult,17,High,568,YES,Airport,Railway Station,8.613491,70.646944,4.9,37128,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,NO,N,No,no,https://example.com/image.jpg
18,Varanasi Ghats,Uttar Pradesh,Varanasi,Desert,Popular tourist destination,Winter,Summer,05 Days,Low,999999,3000,,565,No,N,N,Yes,N,no,0,6,2,6,9.0,4.0,10,9,Easy,18,High,450,No,Airport,Railway Station,26.131975,95.905583,2.9,2303,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Couple,YES,No,NO,Yes,https://example.com/image.jpg
19,Munnar,Kerala,Munnar,National Park,Popular tourist destination,Winter,Summer,Five Days,Luxury,5000,1500,200.0,607,N,Yes,Y,NO,YES,No,6,1,9,1,,,6,9,Moderate,6,High,2977,NO,,Railway Station,32.340217,90.56168,3.4,1318,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Family,N,Yes,NO,NO,https://example.com/image.jpg
20,Goa Beaches,Goa,Panaji,Historical,Popular tourist destination,Winter,Summer,Five Days,High,5000,30000,500.0,1259,YES,Y,N,Y,Yes,No,6,3,4,9,,,9,8,Difficult,31,High,1161,no,Airport,Railway Station,14.372652,80.452108,2.5,49904,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Other,Y,N,no,N,https://example.com/image.jpg
21,Varanasi Ghats,Uttar Pradesh,Varanasi,Wildlife,Popular tourist destination,Winter,Summer,05 Days,Medium,12000,1500,1000.0,1182,YES,N,Y,NO,NO,N,6,9,10,1,7.0,,7,2,Moderate,8,High,2107,NO,Airport,Railway Station,14.050469,94.119622,3.7,5139,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Other,yes,yes,N,Yes,https://example.com/image.jpg
22,Manali,Himachal Pradesh,Manali,National Park,Popular tourist destination,Winter,Summer,05 Days,Luxury,250,30000,,948,NO,no,yes,No,NO,NO,5,6,8,10,9.0,,7,9,NA,29,High,1973,yes,Airport,Railway Station,8.602772,88.766826,,45520,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,N,Y,no,yes,https://example.com/image.jpg
23,Ooty,Tamil Nadu,Ooty,Palace,,Winter,Summer,05 Days,Unknown,5000,3000,1000.0,451,Y,Yes,N,No,No,NO,0,4,10,9,7.0,,6,2,Easy,18,Low,2319,NO,Airport,Railway Station,13.610863,96.117091,4.5,17507,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Backpackers,NO,YES,N,NO,https://example.com/image.jpg
24,Manali,Himachal Pradesh,Manali,Adventure,Popular tourist destination,Winter,Summer,5,High,5000,3000,200.0,1709,no,no,yes,no,N,Y,3,1,5,6,,10.0,4,7,Moderate,6,High,3475,no,Airport,Railway Station,34.539516,78.953685,3.4,40463,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Couple,N,Yes,yes,Yes,https://example.com/image.jpg
25,Goa Beaches,Goa,Panaji,Nature,Popular tourist destination,Winter,Summer,Five Days,Luxury,999999,30000,,1201,N,N,YES,YES,NO,No,7,9,8,9,9.0,1.0,5,6,Moderate,25,Medium,846,no,Airport,Railway Station,32.45931,78.662205,3.3,16383,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Solo,NO,N,YES,NO,https://example.com/image.jpg
26,Goa Beaches,Goa,Panaji,Hill Station,Popular tourist destination,Winter,Summer,Five Days,High,999999,1500,500.0,761,yes,Yes,Yes,Yes,Yes,Yes,6,3,5,10,5.0,,5,10,NA,5,Low,1457,NO,Airport,Railway Station,33.960837,78.652579,4.0,23490,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,Y,N,no,YES,https://example.com/image.jpg
27,Mysuru Palace,Karnataka,Mysuru,Nature,Popular tourist destination,Winter,Summer,5,Luxury,12000,30000,,1858,No,no,NO,NO,Y,Y,1,4,7,3,,,7,4,NA,6,Low,3443,Y,Airport,Railway Station,10.862204,75.313097,3.1,12114,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Luxury Travelers,YES,Y,no,No,https://example.com/image.jpg
28,Ooty,Tamil Nadu,Ooty,National Park,Popular tourist destination,Winter,Summer,05 Days,Luxury,999999,100,,1484,yes,No,Yes,NO,Yes,no,0,4,9,10,9.0,,1,7,Moderate,16,High,2416,YES,Airport,Railway Station,14.351327,76.852144,3.0,40597,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Backpackers,Yes,yes,yes,No,https://example.com/image.jpg
29,Munnar,Kerala,Munnar,Religious,,Winter,Summer,Five Days,Luxury,250,3000,500.0,801,Yes,YES,yes,No,YES,Yes,1,10,1,1,4.0,,7,1,Moderate,24,High,1662,Yes,Airport,Railway Station,24.815027,74.249034,2.5,131,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Family,No,No,YES,N,https://example.com/image.jpg
30,Varanasi Ghats,Uttar Pradesh,Varanasi,Forest,Popular tourist destination,Winter,Summer,05 Days,Low,999999,1500,500.0,1437,Y,Y,no,Yes,Yes,Yes,5,5,5,7,,10.0,10,2,NA,38,Medium,1358,YES,Airport,Railway Station,26.100478,83.595764,3.6,16178,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Family,No,no,YES,N,https://example.com/image.jpg
31,Munnar,Kerala,Munnar,Nature,Popular tourist destination,Winter,Summer,5,Unknown,5000,3000,200.0,1837,NO,Yes,Y,No,NO,NO,6,4,5,3,,5.0,4,5,Moderate,19,Medium,486,NO,Airport,Railway Station,26.957956,84.360618,2.7,38079,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Luxury Travelers,YES,No,N,yes,https://example.com/image.jpg
32,Jaipur,Rajasthan,Jaipur,Wildlife,Popular tourist destination,Winter,Summer,Five Days,Luxury,5000,1500,500.0,928,YES,NO,No,Y,no,NO,7,9,1,9,,,2,8,Easy,17,Medium,2492,NO,Airport,Railway Station,20.416944,88.220074,2.6,41074,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Family,Y,YES,Yes,Y,https://example.com/image.jpg
33,Munnar,Kerala,Munnar,Historical,Popular tourist destination,Winter,Summer,5,Medium,5000,30000,1000.0,659,N,NO,Yes,yes,YES,No,5,6,6,1,10.0,1.0,10,9,Difficult,33,High,503,N,Airport,Railway Station,11.494443,93.58731,4.3,47975,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Luxury Travelers,Y,Y,yes,yes,https://example.com/image.jpg
34,Mysuru Palace,Karnataka,Mysuru,Religious,Popular tourist destination,Winter,Summer,Five Days,Low,250,30000,1000.0,928,yes,N,No,yes,No,NO,3,8,8,8,9.0,6.0,1,2,Easy,30,Low,2005,yes,Airport,Railway Station,12.292812,70.757268,4.7,5585,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Couple,Yes,yes,no,N,https://example.com/image.jpg
35,Manali,Himachal Pradesh,Manali,Island,Popular tourist destination,Winter,Summer,5 Days,Unknown,12000,1500,,632,Yes,No,N,no,no,no,6,2,8,2,,2.0,1,5,Difficult,30,Low,280,Yes,Airport,Railway Station,11.38411,70.461279,3.7,37224,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Luxury Travelers,N,NO,Y,no,https://example.com/image.jpg
36,Amritsar,Punjab,Amritsar,Adventure,Popular tourist destination,Winter,Summer,5,Luxury,5000,1500,1000.0,150,N,Y,yes,Yes,Yes,yes,3,2,4,9,2.0,4.0,7,10,Difficult,22,Medium,1371,No,,Railway Station,12.508751,78.896485,3.5,16844,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Other,yes,Y,Y,Yes,https://example.com/image.jpg
37,Manali,Himachal Pradesh,Manali,Hill Station,Popular tourist destination,Winter,Summer,Five Days,High,250,30000,500.0,433,Yes,No,YES,no,yes,NO,4,10,5,10,2.0,1.0,7,6,NA,36,High,3048,YES,,Railway Station,29.921864,82.623807,2.6,10718,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Couple,N,No,yes,yes,https://example.com/image.jpg
38,Munnar,Kerala,Munnar,Desert,Popular tourist destination,Winter,Summer,5,Luxury,999999,100,500.0,666,yes,no,Yes,N,YES,YES,7,5,8,1,,,7,1,Moderate,12,Medium,61,No,Airport,Railway Station,17.699258,71.465381,3.1,41521,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,N,NO,YES,Y,https://example.com/image.jpg
39,Goa Beaches,Goa,Panaji,Nature,Popular tourist destination,Winter,Summer,5,Low,250,1500,500.0,251,Y,YES,Yes,N,N,NO,2,3,6,1,,1.0,9,7,Easy,31,Medium,1047,N,Airport,Railway Station,26.438148,72.064556,3.2,40771,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Senior Citizens,YES,YES,YES,N,https://example.com/image.jpg
40,Amritsar,punjab,Amritsar,Desert,Popular tourist destination,Winter,Summer,5,Unknown,12000,30000,,680,no,NO,no,N,N,N,1,4,4,7,5.0,1.0,10,8,Difficult,34,High,2246,Yes,Airport,Railway Station,31.31967,71.482653,3.5,21886,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,no,NO,no,NO,https://example.com/image.jpg
41,Ooty,Tamil Nadu,Ooty,National Park,Popular tourist destination,Winter,Summer,Five Days,Luxury,999999,1500,,1330,YES,NO,no,YES,YES,yes,2,4,1,1,1.0,8.0,7,6,Moderate,20,Medium,1137,no,Airport,Railway Station,12.556883,82.208667,3.6,2326,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Family,YES,NO,Yes,YES,https://example.com/image.jpg
42,Amritsar,Punjab,Amritsar,Wildlife,Popular tourist destination,Winter,Summer,5,Luxury,12000,1500,1000.0,397,Y,No,NO,YES,N,YES,5,10,6,3,,5.0,7,7,NA,36,Medium,600,Y,Airport,Railway Station,24.5694,71.269814,3.5,39750,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Family,No,no,Y,Y,https://example.com/image.jpg
43,Manali,Himachal Pradesh,Manali,Desert,Popular tourist destination,Winter,Summer,5 Days,Medium,250,100,,1978,yes,YES,YES,Y,yes,no,6,5,1,7,,,6,6,Difficult,24,Low,2571,NO,Airport,Railway Station,33.174491,95.819506,4.4,13058,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Backpackers,Yes,No,No,N,https://example.com/image.jpg
44,Manali,Himachal Pradesh,Manali,Palace,Popular tourist destination,Winter,Summer,5 Days,Luxury,250,30000,200.0,155,YES,NO,No,Yes,no,YES,3,5,3,2,2.0,,2,9,Easy,34,Low,3460,N,Airport,Railway Station,10.365788,68.825516,3.5,3533,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Backpackers,YES,N,yes,YES,https://example.com/image.jpg
45,Amritsar,Punjab,Amritsar,Adventure,Popular tourist destination,Winter,Summer,5,High,5000,100,500.0,1130,YES,yes,Y,yes,no,YES,2,1,3,1,,5.0,5,10,NA,29,High,1849,YES,Airport,Railway Station,,77.698625,3.4,34155,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Luxury Travelers,yes,Y,Yes,Y,https://example.com/image.jpg
46,Goa Beaches,Goa,Panaji,Nature,,Winter,Summer,5,Unknown,5000,3000,,683,YES,no,NO,no,no,N,6,2,5,10,,,1,10,NA,28,Medium,165,Y,Airport,Railway Station,17.564281,87.040324,3.3,41361,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Friends,Yes,No,N,N,https://example.com/image.jpg
47,Goa Beaches,Goa,Panaji,Beach,,Winter,Summer,5 Days,Low,250,1500,200.0,562,Yes,No,N,Yes,no,YES,5,2,9,5,3.0,,5,7,Difficult,30,High,959,No,Airport,Railway Station,18.047095,92.441007,4.7,23177,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Solo,N,N,Y,N,https://example.com/image.jpg
48,Goa Beaches,Goa,Panaji,Beach,Popular tourist destination,Winter,Summer,5,Medium,12000,30000,200.0,637,Yes,No,Yes,N,Y,N,2,3,1,9,,,3,9,Easy,12,Medium,523,NO,Airport,Railway Station,23.020702,78.513235,4.6,36743,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Friends,Y,yes,YES,N,https://example.com/image.jpg
49,Ooty,Tamil Nadu,Ooty,Religious,Popular tourist destination,Winter,Summer,05 Days,Unknown,250,1500,1000.0,1413,NO,No,NO,No,Yes,NO,0,5,5,5,,3.0,2,1,NA,19,Low,2679,Y,Airport,Railway Station,16.202062,81.132077,2.9,20841,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Other,N,no,N,No,https://example.com/image.jpg
50,Ooty,Tamil Nadu,Ooty,Pilgrimage,Popular tourist destination,Winter,Summer,5 Days,Low,250,100,,237,yes,YES,yes,Y,YES,No,7,7,7,7,,4.0,10,3,Difficult,5,High,141,Yes,Airport,Railway Station,16.869006,92.223917,3.4,28700,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Backpackers,Y,YES,Y,No,https://example.com/image.jpg
51,Ooty,Tamil Nadu,Ooty,Pilgrimage,Popular tourist destination,Winter,Summer,Five Days,Unknown,999999,1500,200.0,693,Y,YES,YES,Y,Y,no,0,9,1,10,4.0,7.0,10,10,NA,9,Medium,2641,No,Airport,Railway Station,8.49279,83.939853,3.6,28264,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Backpackers,NO,yes,Yes,N,https://example.com/image.jpg
52,Varanasi Ghats,Uttar Pradesh,Varanasi,Island,Popular tourist destination,Winter,Summer,05 Days,Unknown,999999,3000,200.0,668,No,YES,YES,NO,no,NO,7,7,6,8,3.0,,10,2,Difficult,13,Medium,165,No,Airport,Railway Station,12.426567,92.919491,4.2,41220,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Family,N,yes,NO,No,https://example.com/image.jpg
53,Amritsar,Punjab,Amritsar,Beach,Popular tourist destination,Winter,Summer,05 Days,High,12000,100,,1526,NO,no,No,Yes,NO,Y,4,1,5,3,,,9,5,Moderate,21,Low,1281,NO,,Railway Station,26.943395,,2.9,35982,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Other,NO,YES,Yes,Y,https://example.com/image.jpg
54,Amritsar,Punjab,Amritsar,Hill Station,Popular tourist destination,Winter,Summer,05 Days,Medium,12000,30000,,198,Y,Y,NO,YES,yes,Yes,1,9,10,8,,,4,3,Difficult,28,Medium,3113,YES,Airport,Railway Station,26.823625,72.430205,4.3,37083,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,NO,Y,Y,NO,https://example.com/image.jpg
55,Amritsar,Punjab,Amritsar,Waterfall,Popular tourist destination,Winter,Summer,5,Luxury,999999,3000,,1529,no,N,yes,N,Yes,Yes,1,3,8,9,5.0,,2,10,Moderate,33,Medium,3195,NO,Airport,Railway Station,8.8869,92.416248,3.6,47794,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Family,yes,yes,NO,no,https://example.com/image.jpg
56,Goa Beaches,Goa,Panaji,Hill Station,Popular tourist destination,Winter,Summer,5,High,999999,3000,200.0,1785,YES,No,NO,N,NO,NO,2,8,3,3,,,5,3,Easy,16,Low,3127,No,Airport,Railway Station,14.232354,72.531217,4.4,23061,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,yes,no,NO,yes,https://example.com/image.jpg
57,Ooty,Tamil Nadu,Ooty,Religious,Popular tourist destination,Winter,Summer,5 Days,High,999999,3000,500.0,570,no,NO,N,no,N,Y,6,8,6,3,,2.0,2,1,NA,33,Low,2312,yes,Airport,Railway Station,29.515876,73.322458,3.5,2075,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,Y,Yes,Y,YES,https://example.com/image.jpg
58,Amritsar,Punjab,Amritsar,Religious,,Winter,Summer,05 Days,Medium,5000,1500,1000.0,220,yes,Y,yes,no,Y,no,1,2,7,3,5.0,,1,4,Easy,20,High,1131,NO,Airport,Railway Station,16.018498,90.924916,3.4,24645,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,yes,no,N,YES,https://example.com/image.jpg
59,Munnar,Kerala,Munnar,Island,Popular tourist destination,Winter,Summer,Five Days,High,999999,1500,500.0,1647,Y,yes,no,yes,Yes,no,1,8,1,3,,5.0,8,5,Moderate,26,High,592,yes,Airport,Railway Station,14.537544,73.936642,3.0,6505,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Senior Citizens,NO,no,Yes,N,https://example.com/image.jpg
60,Amritsar,Punjab,Amritsar,Nature,Popular tourist destination,Winter,Summer,5,High,5000,3000,,773,Y,N,no,N,NO,yes,5,9,4,8,1.0,2.0,5,6,Difficult,16,Low,417,yes,Airport,Railway Station,25.974687,88.560244,4.1,15735,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,yes,Y,N,NO,https://example.com/image.jpg
61,Manali,Himachal Pradesh,Manali,National Park,,Winter,Summer,5 Days,Low,12000,30000,,392,Y,Yes,No,No,YES,No,5,8,7,6,6.0,,2,6,Easy,31,Low,139,YES,Airport,Railway Station,23.964702,79.868274,3.5,48266,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Family,no,Yes,YES,NO,https://example.com/image.jpg
62,Ooty,Tamil Nadu,Ooty,Religious,,Winter,Summer,Five Days,Low,5000,3000,200.0,283,Yes,NO,No,Y,NO,no,2,4,2,1,,,2,6,Difficult,11,High,3461,yes,Airport,Railway Station,14.234202,91.005026,4.6,25145,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Family,no,Y,no,NO,https://example.com/image.jpg
63,Varanasi Ghats,Uttar Pradesh,Varanasi,Fort,Popular tourist destination,Winter,Summer,05 Days,Luxury,999999,3000,500.0,925,no,Y,NO,yes,Y,YES,5,4,2,7,,7.0,1,9,Difficult,10,High,3153,No,Airport,Railway Station,21.223538,92.874157,4.7,17611,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Family,yes,yes,N,YES,https://example.com/image.jpg
64,Goa Beaches,Goa,Panaji,Historical,Popular tourist destination,Winter,Summer,05 Days,Low,5000,100,500.0,1308,NO,NO,YES,yes,N,Y,7,9,6,6,,,2,8,Difficult,34,Medium,1642,N,Airport,Railway Station,25.258073,76.253269,3.3,19282,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,NO,no,NO,NO,https://example.com/image.jpg
65,Ooty, tamil nadu ,Ooty,Forest,Popular tourist destination,Winter,Summer,Five Days,Unknown,5000,100,500.0,1278,NO,no,no,no,Yes,NO,5,5,8,10,,4.0,4,4,Easy,27,Medium,2294,NO,,Railway Station,15.458638,68.115323,3.0,1514,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Couple,N,yes,YES,yes,https://example.com/image.jpg
66,Ooty,Tamil Nadu,Ooty,Beach,Popular tourist destination,Winter,Summer,5 Days,Luxury,5000,30000,,584,no,Y,No,no,Y,Yes,7,9,5,4,1.0,,10,8,NA,37,Low,549,Y,Airport,Railway Station,19.195921,77.443301,3.4,28446,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,no,Y,no,No,https://example.com/image.jpg
